Event,Date,Company,Event_Day_Return,Cumulative_Return_30d,Pre_Event_Volatility,Post_Event_Volatility,Volume_Change_Pct,Domain,Event_Type,Source,Analysis_Type,Return_Positive,Volatility_Change,Event_Day_Magnitude,Return_vs_EventDay,Momentum_Sustained,Event_Stage,Innovation_Score,Innovation_Category
Cybertruck Reveal,2019-11-21,TSLA,0.74,32.19,3.84,2.39,11.46,Electric Vehicles,Product Reveal,Tesla,Single Company,True,-1.4499999999999997,0.74,31.45,True,Announcement/Reveal,80.0,🌟 Transformative
Tesla Bot Announcement,2021-08-19,TSLA,-2.25,15.11,2.17,1.59,-10.96,Robotics/AI,Product Announcement,Tesla,Single Company,True,-0.5799999999999998,2.25,17.36,True,Announcement/Reveal,60.11,🌟 Transformative
Dojo Supercomputer Announcement,2021-08-19,TSLA,-2.25,15.11,2.17,1.59,-10.96,AI Infrastructure,Technology Announcement,Tesla,Single Company,True,-0.5799999999999998,2.25,17.36,True,Announcement/Reveal,60.11,🌟 Transformative
Cybertruck Deliveries Begin,2023-11-30,TSLA,-1.66,-8.4,3.52,2.1,-12.1,Electric Vehicles,Product Launch,Tesla,Single Company,False,-1.42,1.66,-6.74,False,Launch/Delivery,1.5999999999999996,❌ Weak/Negative
Optimus Gen 2 Reveal,2023-12-13,TSLA,0.96,-20.21,2.6,3.1,-7.52,Robotics/AI,Product Reveal,Tesla,Single Company,False,0.5,0.96,-21.17,False,Announcement/Reveal,-15.0,❌ Weak/Negative
FSD v12 Wide Rollout,2024-03-16,TSLA,6.25,5.45,2.82,4.62,2.47,Autonomous Driving,Software Release,Tesla,Single Company,True,1.8000000000000003,6.25,-0.7999999999999998,False,Launch/Delivery,30.45,🔶 Moderate
iPod Launch,2001-10-23,AAPL,-4.63,30.98,3.67,3.33,-20.75,Consumer Electronics,Product Launch,Apple,Single Company,True,-0.33999999999999986,4.63,35.61,True,Launch/Delivery,75.0,🌟 Transformative
iPhone Launch,2007-06-29,AAPL,1.23,4.71,1.88,3.01,8.86,Mobile/Smartphone,Product Launch,Apple,Single Company,True,1.13,1.23,3.48,True,Launch/Delivery,44.71,✅ Strong Innovation
iPad Launch,2010-04-03,AAPL,1.07,6.6,1.18,2.55,31.33,Tablet Computing,Product Launch,Apple,Single Company,True,1.3699999999999999,1.07,5.529999999999999,True,Launch/Delivery,51.6,✅ Strong Innovation
iPhone 5S Touch ID,2013-09-20,AAPL,-1.04,11.26,1.98,1.44,-17.0,Mobile Security,Product Launch,Apple,Single Company,True,-0.54,1.04,12.3,True,Launch/Delivery,56.26,✅ Strong Innovation
Apple Pay Launch,2014-10-20,AAPL,2.14,15.4,1.37,1.13,-26.2,Mobile Payments,Product Launch,Apple,Single Company,True,-0.2400000000000002,2.14,13.26,True,Launch/Delivery,60.4,🌟 Transformative
AirPods Launch,2016-12-13,AAPL,1.67,5.87,1.2,0.51,-18.52,Audio/Wearables,Product Launch,Apple,Single Company,True,-0.69,1.67,4.2,True,Launch/Delivery,50.870000000000005,✅ Strong Innovation
M1 Chip Announcement,2020-11-10,AAPL,-0.3,12.93,2.63,1.66,-21.88,Semiconductors,Product Launch,Apple,Single Company,True,-0.97,0.3,13.23,True,Launch/Delivery,57.93,✅ Strong Innovation
Vision Pro Announcement,2023-06-05,AAPL,-0.76,8.64,1.25,0.91,-4.45,Spatial Computing,Product Announcement,Apple,Single Company,True,-0.33999999999999997,0.76,9.4,True,Announcement/Reveal,53.64,✅ Strong Innovation
